,日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2024-09-30,600519,1692.0,1748.0,1759.88,1652.0,157293,26982747037.0,6.62,7.29,118.8,1.25
1,2024-10-08,600519,1910.0,1723.0,1910.0,1680.18,194709,35114075007.0,13.15,-1.43,-25.0,1.55
2,2024-10-09,600519,1700.0,1595.15,1700.0,1590.0,120197,19708432734.0,6.38,-7.42,-127.85,0.96
3,2024-10-10,600519,1622.26,1640.0,1668.08,1591.0,74603,12198964035.0,4.83,2.81,44.85,0.59
4,2024-10-11,600519,1615.4,1604.99,1639.96,1590.0,41915,6764982707.0,3.05,-2.13,-35.01,0.33
5,2024-10-14,600519,1613.0,1601.99,1620.63,1581.17,44812,7181350822.0,2.46,-0.19,-3.0,0.36
6,2024-10-15,600519,1599.0,1554.25,1600.99,1553.01,43571,6884141869.0,3.0,-2.98,-47.74,0.35
7,2024-10-16,600519,1540.88,1522.5,1549.8,1510.0,46664,7140169692.0,2.56,-2.04,-31.75,0.37
8,2024-10-17,600519,1537.0,1494.6,1537.66,1493.41,39460,5964778958.0,2.91,-1.83,-27.9,0.31
9,2024-10-18,600519,1493.0,1541.0,1567.84,1478.96,68619,10418043492.0,5.95,3.1,46.4,0.55
10,2024-10-21,600519,1541.21,1528.8,1549.97,1521.21,42008,6433918335.0,1.87,-0.79,-12.2,0.33
11,2024-10-22,600519,1526.56,1543.0,1560.18,1524.2,36269,5607826492.0,2.35,0.93,14.2,0.29
12,2024-10-23,600519,1544.11,1567.5,1576.95,1532.0,40088,6259600035.0,2.91,1.59,24.5,0.32
13,2024-10-24,600519,1561.0,1552.2,1575.0,1545.01,23923,3723973209.0,1.91,-0.98,-15.3,0.19
14,2024-10-25,600519,1547.0,1558.85,1574.79,1546.01,27745,4328271351.0,1.85,0.43,6.65,0.22
15,2024-10-28,600519,1560.0,1565.0,1565.0,1522.23,39121,6064453668.0,2.74,0.39,6.15,0.31
16,2024-10-29,600519,1560.0,1541.01,1580.0,1541.0,23186,3610301827.0,2.49,-1.53,-23.99,0.18
