报告期,净利润,净利润同比增长率,扣非净利润,扣非净利润同比增长率,营业总收入,营业总收入同比增长率,基本每股收益,每股净资产,每股资本公积金,每股未分配利润,每股经营现金流,销售净利率,净资产收益率,净资产收益率-摊薄,产权比率,资产负债率
2024-06-30,21.28亿,-43.22%,20.65亿,-41.88%,108.76亿,-11.14%,0.0800,4.07,0.77,1.31,-0.81,26.32%,2.09%,2.09%,4.69,78.57%
2024-03-31,13.88亿,-31.00%,13.23亿,-33.16%,56.80亿,-1.47%,0.0600,4.08,0.77,1.34,-0.50,29.17%,1.37%,1.36%,4.87,79.15%
2023-12-31,46.06亿,65.16%,43.86亿,67.64%,215.01亿,4.32%,0.1800,4.00,0.77,1.29,2.77,25.47%,4.72%,4.60%,5.06,79.73%
2023-09-30,43.47亿,1.60%,41.52亿,0.79%,162.83亿,-9.82%,0.1700,3.98,0.77,1.34,2.00,30.79%,4.46%,4.36%,4.90,79.61%
2023-06-30,37.48亿,11.48%,35.52亿,10.56%,122.40亿,-4.52%,0.1500,3.95,0.77,1.32,1.93,34.89%,3.85%,3.79%,5.21,80.77%
2023-03-31,20.11亿,87.77%,19.79亿,94.90%,57.65亿,19.35%,0.0800,3.89,0.77,1.28,1.18,38.16%,2.09%,2.06%,5.27,81.15%
2022-12-31,27.89亿,-70.32%,26.16亿,-71.49%,206.10亿,-39.93%,0.1100,3.80,0.77,1.20,1.48,15.23%,2.93%,2.93%,5.22,80.97%
2022-09-30,42.79亿,-42.25%,41.19亿,-44.33%,180.57亿,-27.46%,0.1700,3.87,0.77,1.32,0.14,25.15%,4.43%,4.42%,5.14,80.77%
2022-06-30,33.62亿,-25.64%,32.13亿,-28.82%,128.19亿,-20.28%,0.1300,3.83,0.77,1.28,1.02,28.34%,3.47%,3.50%,5.39,82.72%
2022-03-31,10.71亿,-55.95%,10.16亿,-57.77%,48.30亿,-44.16%,0.0400,3.84,0.77,1.29,0.34,23.33%,1.12%,1.11%,5.33,82.58%
2021-12-31,93.98亿,21.02%,91.77亿,20.39%,343.07亿,16.66%,0.3800,3.80,0.77,1.25,-1.63,27.79%,10.26%,9.87%,5.19,82.19%
2021-09-30,74.09亿,13.48%,73.99亿,15.81%,248.91亿,15.88%,0.3000,3.72,0.77,1.27,-1.49,30.01%,8.05%,7.52%,4.77,82.42%
2021-06-30,45.21亿,12.05%,45.14亿,15.54%,160.79亿,20.12%,0.1800,3.61,0.77,1.16,-1.13,28.40%,5.01%,4.90%,4.62,81.95%
2021-03-31,24.31亿,22.33%,24.05亿,21.83%,86.51亿,12.39%,0.1000,3.62,0.77,1.18,-0.22,28.35%,2.72%,2.69%,4.50,81.55%
2020-12-31,77.66亿,35.41%,76.23亿,35.73%,294.09亿,19.58%,0.3100,3.53,0.77,1.09,-0.71,26.78%,9.05%,8.78%,4.53,81.66%
2020-09-30,65.29亿,37.26%,63.89亿,34.80%,214.79亿,30.80%,0.2600,3.49,0.77,1.12,-0.92,30.74%,7.63%,7.48%,4.40,81.20%
2020-06-30,40.35亿,26.03%,39.07亿,22.45%,133.86亿,27.68%,0.1600,3.38,0.77,1.02,0.40,30.48%,4.75%,4.77%,4.20,80.46%
2020-03-31,19.87亿,6.72%,19.74亿,6.96%,76.97亿,41.05%,0.0800,3.39,0.77,1.02,0.78,25.97%,2.36%,2.34%,3.88,79.21%
2019-12-31,57.35亿,37.86%,56.16亿,37.88%,245.93亿,60.98%,0.2400,3.32,0.77,0.94,0.40,23.60%,7.41%,6.89%,3.65,78.17%
2019-09-30,47.57亿,43.64%,47.40亿,46.58%,164.22亿,75.33%,0.2000,3.28,0.77,0.95,-0.16,29.24%,6.26%,5.80%,3.52,77.53%
2019-06-30,32.02亿,54.99%,31.90亿,55.72%,104.84亿,72.58%,0.1400,3.22,0.77,0.89,0.62,30.83%,4.34%,3.98%,3.69,78.35%
2019-03-31,18.62亿,87.54%,18.46亿,87.51%,54.57亿,89.46%,0.0800,3.17,0.62,0.93,0.73,34.43%,2.63%,2.61%,4.23,80.48%
2018-12-31,41.60亿,-9.55%,40.73亿,-9.45%,152.77亿,14.29%,0.1900,3.08,0.62,0.89,-0.62,27.80%,6.19%,5.99%,3.98,79.53%
2018-09-30,33.11亿,-7.60%,32.34亿,-9.19%,93.66亿,-2.79%,0.1500,3.07,0.62,0.92,-1.31,36.04%,4.94%,4.79%,4.02,79.68%
2018-06-30,20.66亿,0.76%,20.49亿,0.92%,60.75亿,0.21%,0.0900,2.99,0.62,0.86,-1.12,34.82%,3.14%,3.06%,3.97,79.46%
2018-03-31,9.93亿,2.18%,9.84亿,1.20%,28.80亿,1.94%,0.0500,3.02,0.62,0.87,0.18,35.36%,1.56%,1.46%,3.77,78.61%
