报告期,净利润,净利润同比增长率,扣非净利润,扣非净利润同比增长率,营业总收入,营业总收入同比增长率,基本每股收益,每股净资产,每股资本公积金,每股未分配利润,每股经营现金流,销售净利率,销售毛利率,净资产收益率,净资产收益率-摊薄,营业周期,存货周转率,存货周转天数,应收账款周转天数,流动比率,速动比率,保守速动比率,产权比率,资产负债率
2024-06-30,5420.46万,139.33%,5265.12万,135.79%,60.72亿,8.96%,0.0410,2.46,1.18,-0.20,0.12,1.26%,9.58%,1.68%,1.67%,82.96,6.63,27.14,55.82,1.20,0.93,0.90,2.03,64.78%
2024-03-31,-1033.01万,89.15%,-1044.11万,89.17%,28.97亿,10.30%,-0.0078,2.43,1.18,-0.25,-0.04,-0.07%,7.71%,-0.32%,-0.32%,85.37,3.21,28.04,57.33,1.01,0.74,0.72,2.07,65.22%
2023-12-31,-3.47亿,-82.08%,-3.49亿,-89.43%,116.68亿,3.77%,-0.2901,2.41,1.18,-0.24,-0.11,-3.37%,7.51%,-11.21%,-10.90%,80.47,13.36,26.95,53.52,1.06,0.82,0.80,2.29,67.54%
2023-09-30,-2.37亿,-66.05%,-2.50亿,-91.80%,85.81亿,4.36%,-0.1797,2.49,1.18,-0.16,-0.32,-3.47%,6.34%,-7.74%,-7.21%,85.91,9.57,28.22,57.70,1.08,0.81,0.78,2.14,66.18%
2023-06-30,-1.38亿,12.02%,-1.47亿,-21.15%,55.73亿,9.12%,-0.1244,2.58,1.06,-0.10,-0.43,-3.77%,7.13%,-4.49%,-4.82%,87.44,6.30,28.56,58.88,0.89,0.68,0.66,2.73,71.22%
2023-03-31,-9517.17万,-36.41%,-9643.10万,-32.88%,26.27亿,8.22%,-0.0859,2.73,1.22,-0.06,-0.32,-5.40%,6.52%,-3.10%,-3.14%,92.85,2.89,31.12,61.73,0.86,0.62,0.61,2.38,69.37%
2022-12-31,-1.91亿,-638.52%,-1.84亿,40.15%,112.44亿,6.57%,-0.1721,2.81,1.22,0.03,0.31,-2.26%,8.33%,-5.98%,-6.13%,76.55,12.64,28.48,48.08,0.78,0.60,0.58,2.27,68.10%
2022-09-30,-1.43亿,-296.07%,-1.30亿,48.25%,82.23亿,-0.24%,-0.1290,2.78,1.21,0.07,-0.09,-2.58%,7.19%,-4.50%,-4.64%,84.10,8.16,33.09,51.00,0.76,0.54,0.52,2.27,68.37%
2022-06-30,-1.57亿,-170.08%,-1.21亿,-24.16%,51.07亿,-6.78%,-0.1414,2.81,1.21,0.07,-0.18,-4.54%,6.35%,-4.90%,-5.03%,85.95,5.26,34.19,51.76,1.00,0.71,0.68,2.20,67.31%
2022-03-31,-6976.82万,-124.64%,-7256.79万,-233.18%,24.27亿,-13.29%,-0.0630,2.87,1.20,0.14,-0.11,-4.06%,6.85%,-2.14%,-2.19%,83.24,2.51,35.84,47.41,1.25,0.84,0.82,1.96,64.41%
