报告期,净利润,净利润同比增长率,扣非净利润,扣非净利润同比增长率,营业总收入,营业总收入同比增长率,基本每股收益,每股净资产,每股资本公积金,每股未分配利润,每股经营现金流,销售净利率,销售毛利率,净资产收益率,净资产收益率-摊薄,营业周期,应收账款周转天数,流动比率,速动比率,保守速动比率,产权比率,资产负债率
2024-06-30,2322.00万,-72.83%,43.35万,110.79%,5.18亿,4.01%,0.0500,2.42,1.27,-0.11,0.72,3.06%,26.21%,2.05%,2.03%,33.42,33.42,0.61,0.55,0.55,4.04,79.23%
2024-03-31,1312.64万,-43.38%,213.97万,-65.71%,2.54亿,3.09%,0.0300,2.40,1.27,-0.13,0.33,4.00%,25.70%,1.17%,1.16%,30.96,30.96,0.57,0.51,0.51,3.82,78.22%
2023-12-31,9883.55万,1.85%,4093.02万,4.03%,10.32亿,17.04%,0.2100,2.37,1.27,-0.16,1.36,8.06%,28.68%,8.62%,8.83%,28.46,28.46,0.50,0.45,0.45,3.97,78.83%
2023-09-30,9548.10万,9.65%,5331.46万,17.11%,7.68亿,9.89%,0.2000,2.36,1.27,-0.14,1.09,11.01%,29.46%,8.23%,8.55%,30.13,30.13,0.47,0.42,0.42,3.74,77.75%
2023-06-30,8546.64万,35.08%,-401.90万,-110.86%,4.98亿,-4.43%,0.1800,2.56,1.27,0.06,0.65,15.68%,30.31%,7.32%,7.06%,30.37,30.37,0.52,0.47,0.47,3.50,76.64%
2023-03-31,2318.37万,-26.41%,623.90万,-67.02%,2.46亿,-5.84%,0.0500,2.43,1.27,-0.07,0.31,7.55%,32.01%,2.04%,2.02%,32.15,32.15,0.52,0.47,0.47,4.00,78.82%
2022-12-31,9703.74万,-21.78%,3934.55万,-41.96%,8.82亿,-2.97%,0.2100,2.38,1.27,-0.12,1.23,9.32%,40.57%,8.68%,8.64%,27.12,27.12,0.63,0.58,0.58,3.59,76.63%
2022-09-30,8707.97万,-10.13%,4552.61万,-25.96%,6.98亿,4.68%,0.1800,2.36,1.27,-0.11,0.88,10.73%,43.16%,7.49%,7.82%,30.93,30.93,0.71,0.62,0.62,4.16,79.10%
2022-06-30,6327.08万,-5.09%,3701.98万,-18.67%,5.21亿,27.04%,0.1300,2.53,1.27,0.06,0.52,10.33%,39.03%,5.45%,5.30%,35.47,35.47,0.78,0.70,0.70,3.92,78.19%
2022-03-31,3150.28万,7.12%,1892.01万,11.44%,2.61亿,39.78%,0.0700,2.46,1.27,-0.0100,0.34,10.23%,39.47%,2.75%,2.71%,19.50,19.50,0.64,0.54,0.54,3.99,78.37%
2021-12-31,1.24亿,-20.54%,6779.05万,-41.73%,9.09亿,22.93%,0.2600,2.39,1.27,-0.08,0.89,13.07%,39.30%,11.18%,10.98%,13.86,13.86,0.58,0.48,0.48,3.64,76.66%
