序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
1,300464,星徽股份,4.19,20.06,0.7,527313.0,214585547.63,20.63,4.19,3.47,3.47,3.49,8.02,16.35,105.46,3.24,1971854488.0,1351130139.0,0.0,0.0,14.17,-30.4
2,300386,飞天诚信,9.52,20.05,1.59,414031.0,371495383.14,18.16,9.52,8.08,8.09,7.93,3.78,16.68,-123.63,2.6,3979778880.0,2363008257.0,0.0,0.0,46.46,-11.28
3,301066,万事利,9.7,20.05,1.62,120775.0,112363683.22,20.05,9.7,8.08,8.08,8.08,6.72,16.76,37.89,2.76,1827016262.0,698871226.0,0.0,0.0,12.4,-24.34
4,300479,神思电子,16.54,20.03,2.76,247154.0,403743768.16,13.79,16.54,14.64,14.64,13.78,6.97,12.54,-21.08,7.11,3259055907.0,3259055907.0,0.0,0.0,17.56,-15.96
5,301017,漱玉平民,13.98,20.0,2.33,326619.0,434336945.66,13.56,13.98,12.4,12.64,11.65,5.84,13.42,117.1,2.65,5666658359.0,3401898359.0,0.0,0.0,23.06,-31.4
6,300997,欢乐家,11.88,20.0,1.98,79991.0,90370219.99,17.88,11.88,10.11,10.18,9.9,5.1,2.02,32.24,4.77,5316300000.0,4704881318.0,0.0,0.0,-8.19,-12.84
7,300941,创识科技,17.52,20.0,2.92,54685.0,95807279.04,0.0,17.52,17.52,17.52,14.6,1.59,4.51,93.87,2.85,3587220000.0,2124834132.0,0.0,0.0,4.47,-27.36
8,300310,宜通世纪,5.46,20.0,0.91,1970563.0,981801164.94,22.86,5.46,4.42,4.5,4.55,1.38,28.49,67.1,2.48,4813855579.0,3776902835.0,0.0,0.0,40.72,23.53
9,300155,安居宝,3.96,20.0,0.66,461182.0,171633809.9,20.3,3.96,3.29,3.4,3.3,3.48,13.96,-59.22,1.72,2222461866.0,1308174465.0,0.0,0.0,3.13,-33.11
10,301153,中科江南,20.52,17.19,3.01,224906.0,451409787.74,16.33,21.01,18.15,18.15,17.51,4.77,10.92,108.75,4.26,7180358400.0,4224366072.0,-0.1,0.05,-24.53,-52.2
11,300051,琏升科技,7.42,16.67,1.06,344094.0,255347880.11,20.13,7.63,6.35,6.45,6.36,8.1,9.41,-32.44,8.99,2752276040.0,2713252219.0,0.13,1.78,-7.02,-34.39
12,300779,惠城环保,56.12,15.28,7.44,74329.0,393459421.51,16.62,56.5,48.41,48.51,48.68,2.08,5.01,156.49,8.41,10941040378.0,8327068315.0,0.0,-0.07,22.0,52.71
